,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,time_window,filename,Cluster
126,-5.6546636,10.7198515,-1.2844315,3.592516,-1.486945,"[5.0, 5.5]",SM15XPRIZE_20240410_060002.wav,4
127,-7.7617364,5.501981,-0.020596318,3.8907309,0.56093574,"[5.5, 6.0]",SM15XPRIZE_20240410_060002.wav,4
128,-5.1686916,7.85404,0.9900417,4.9071274,1.5464588,"[6.0, 6.5]",SM15XPRIZE_20240410_060002.wav,4
129,-7.980211,5.0094404,-0.27208233,3.6085694,1.0956608,"[6.5, 7.0]",SM15XPRIZE_20240410_060002.wav,4
130,-4.993793,7.207817,0.5018045,4.4343863,1.1099237,"[7.0, 7.5]",SM15XPRIZE_20240410_060002.wav,4
131,-7.5292263,6.061969,0.73498964,5.970816,0.9044428,"[7.5, 8.0]",SM15XPRIZE_20240410_060002.wav,4
132,-6.9789686,7.4428396,-0.45426315,4.488932,-0.9662735,"[8.0, 8.5]",SM15XPRIZE_20240410_060002.wav,4
133,-6.408694,4.97918,0.73530865,6.9575815,0.6882879,"[8.5, 9.0]",SM15XPRIZE_20240410_060002.wav,4
134,-9.66479,3.8406005,0.52721846,5.4099975,0.23018172,"[9.0, 9.5]",SM15XPRIZE_20240410_060002.wav,4
135,-6.389039,6.733121,1.2224774,5.7531548,-0.40282455,"[9.5, 10.0]",SM15XPRIZE_20240410_060002.wav,4
136,-7.358348,3.6764991,1.3599061,6.7730665,0.6532915,"[10.0, 10.5]",SM15XPRIZE_20240410_060002.wav,4
137,-8.499496,3.7035553,-1.1138772,4.1381197,-0.9755428,"[10.5, 11.0]",SM15XPRIZE_20240410_060002.wav,4
138,-7.4982605,8.476522,0.7382024,5.7554727,0.08502611,"[11.0, 11.5]",SM15XPRIZE_20240410_060002.wav,4
139,-6.548616,10.008572,0.3745741,4.544197,-0.6230626,"[11.5, 12.0]",SM15XPRIZE_20240410_060002.wav,4
140,-11.3366995,5.3450847,-1.3395381,2.8099282,-0.5426251,"[12.0, 12.5]",SM15XPRIZE_20240410_060002.wav,3
141,-7.9083805,6.4062,2.5553,7.0419226,1.7697318,"[12.5, 13.0]",SM15XPRIZE_20240410_060002.wav,4
142,-9.574925,4.0870237,0.93469954,6.0152903,1.2199978,"[13.0, 13.5]",SM15XPRIZE_20240410_060002.wav,4
143,-8.965748,3.6199548,0.5602183,5.467338,-0.053653866,"[13.5, 14.0]",SM15XPRIZE_20240410_060002.wav,4
144,-8.356595,3.2674263,0.35589528,4.8738065,0.015622048,"[14.0, 14.5]",SM15XPRIZE_20240410_060002.wav,4
145,-8.436382,5.0747843,-1.4618042,3.6726327,-0.74749416,"[14.5, 15.0]",SM15XPRIZE_20240410_060002.wav,4
146,-6.626487,2.4496093,2.032257,7.361138,1.6157067,"[15.0, 15.5]",SM15XPRIZE_20240410_060002.wav,4
147,-9.275518,0.65388733,-0.8921806,4.2423058,0.5159756,"[15.5, 16.0]",SM15XPRIZE_20240410_060002.wav,4
148,-5.8013325,7.581396,-1.9062647,3.231818,-0.38428253,"[16.0, 16.5]",SM15XPRIZE_20240410_060002.wav,4
149,-2.9792712,8.854705,0.79406506,5.300538,1.323847,"[16.5, 17.0]",SM15XPRIZE_20240410_060002.wav,4
150,-4.651895,8.803912,-1.9439405,2.127055,-0.29966512,"[17.0, 17.5]",SM15XPRIZE_20240410_060002.wav,4
151,-4.059815,9.883148,-0.47539997,4.1440454,1.0552088,"[17.5, 18.0]",SM15XPRIZE_20240410_060002.wav,4
152,-5.5715528,8.063987,1.0172797,5.540961,2.3547504,"[18.0, 18.5]",SM15XPRIZE_20240410_060002.wav,4
153,-6.845567,6.0188785,-1.5002818,4.2743726,0.11765415,"[18.5, 19.0]",SM15XPRIZE_20240410_060002.wav,4
154,-6.9966407,6.2827835,-2.920216,2.0455363,-2.0603497,"[19.0, 19.5]",SM15XPRIZE_20240410_060002.wav,4
155,-3.6273003,7.604568,0.8612675,6.532176,1.0018173,"[19.5, 20.0]",SM15XPRIZE_20240410_060002.wav,4
156,-5.152607,7.5179358,-1.456157,4.838168,0.08328939,"[20.0, 20.5]",SM15XPRIZE_20240410_060002.wav,4
157,-5.1532383,4.6629496,-1.7313504,4.5435233,0.33947483,"[20.5, 21.0]",SM15XPRIZE_20240410_060002.wav,4
158,-1.1007438,6.490981,-0.35973528,6.465175,1.1979352,"[21.0, 21.5]",SM15XPRIZE_20240410_060002.wav,4
159,-2.2789452,5.019858,-1.9383839,4.748725,0.5655553,"[21.5, 22.0]",SM15XPRIZE_20240410_060002.wav,4
160,1.4171475,7.643947,-2.0567229,4.294303,0.105901435,"[22.0, 22.5]",SM15XPRIZE_20240410_060002.wav,4
161,5.2417,10.137218,-2.8837569,3.2659686,-0.38785955,"[22.5, 23.0]",SM15XPRIZE_20240410_060002.wav,2
162,5.904415,8.482355,-2.565447,4.2853446,0.3769119,"[23.0, 23.5]",SM15XPRIZE_20240410_060002.wav,2
163,9.573234,6.233718,-2.434395,4.272095,0.79761773,"[23.5, 24.0]",SM15XPRIZE_20240410_060002.wav,0
164,8.584649,7.32406,-2.874774,3.8670795,0.19343194,"[24.0, 24.5]",SM15XPRIZE_20240410_060002.wav,0
165,8.307868,5.946401,-1.771814,5.248893,0.7162775,"[24.5, 25.0]",SM15XPRIZE_20240410_060002.wav,0
166,9.114029,6.24481,-2.3266149,4.1070633,0.11402214,"[25.0, 25.5]",SM15XPRIZE_20240410_060002.wav,0
167,9.308022,5.885261,-2.1170702,4.5832367,0.27001575,"[25.5, 26.0]",SM15XPRIZE_20240410_060002.wav,0
168,13.158981,5.6173024,-0.7360542,5.9975495,1.7048098,"[26.0, 26.5]",SM15XPRIZE_20240410_060002.wav,0
169,23.497047,5.4960837,-1.5615857,5.7549224,1.6252288,"[26.5, 27.0]",SM15XPRIZE_20240410_060002.wav,5
170,25.446917,6.109964,-1.2506744,6.2471294,1.6636889,"[27.0, 27.5]",SM15XPRIZE_20240410_060002.wav,5
171,25.949156,7.234276,-0.94792974,6.6350446,1.830189,"[27.5, 28.0]",SM15XPRIZE_20240410_060002.wav,5
172,25.137827,7.385175,-2.1711576,5.7626233,1.8373824,"[28.0, 28.5]",SM15XPRIZE_20240410_060002.wav,5
173,26.390976,10.067516,-2.188304,4.624299,2.1221228,"[28.5, 29.0]",SM15XPRIZE_20240410_060002.wav,5
174,26.424063,11.261919,-0.6940807,5.422397,2.9345307,"[29.0, 29.5]",SM15XPRIZE_20240410_060002.wav,5
175,25.868856,10.474411,-1.4217669,4.535507,2.1639118,"[29.5, 30.0]",SM15XPRIZE_20240410_060002.wav,5
176,26.650389,11.543297,-1.9426023,4.4311495,2.06874,"[30.0, 30.5]",SM15XPRIZE_20240410_060002.wav,5
177,24.833845,8.4032755,-1.3536918,5.8354487,1.406139,"[30.5, 31.0]",SM15XPRIZE_20240410_060002.wav,5
178,26.37626,6.542745,-1.1095606,6.613563,1.6697432,"[31.0, 31.5]",SM15XPRIZE_20240410_060002.wav,5
179,24.535318,6.9218965,-0.8799554,6.5358005,1.6574748,"[31.5, 32.0]",SM15XPRIZE_20240410_060002.wav,5
180,25.972708,8.145192,-1.1220927,6.658928,1.579566,"[32.0, 32.5]",SM15XPRIZE_20240410_060002.wav,5
181,25.961914,8.006734,-0.9736643,6.848044,1.4528903,"[32.5, 33.0]",SM15XPRIZE_20240410_060002.wav,5
182,24.210926,7.968617,-1.3210104,5.9245,1.1989845,"[33.0, 33.5]",SM15XPRIZE_20240410_060002.wav,5
183,25.049084,8.234605,-1.3809444,6.1792026,1.8668574,"[33.5, 34.0]",SM15XPRIZE_20240410_060002.wav,5
184,23.33867,6.751061,-1.0747997,6.233134,1.3413137,"[34.0, 34.5]",SM15XPRIZE_20240410_060002.wav,5
185,23.900946,6.9729676,-1.9063847,6.5272493,1.9195251,"[34.5, 35.0]",SM15XPRIZE_20240410_060002.wav,5
186,22.47542,7.356838,-1.9859189,5.5056677,1.1945269,"[35.0, 35.5]",SM15XPRIZE_20240410_060002.wav,5
187,21.777107,7.077654,-1.409892,5.915233,1.4320139,"[35.5, 36.0]",SM15XPRIZE_20240410_060002.wav,5
188,21.401733,7.153273,-1.5775219,6.071441,1.6686363,"[36.0, 36.5]",SM15XPRIZE_20240410_060002.wav,5
189,17.92393,5.4001474,-2.1798048,4.955214,1.094029,"[36.5, 37.0]",SM15XPRIZE_20240410_060002.wav,5
190,14.768129,6.487395,-2.754313,4.4748487,0.18642831,"[37.0, 37.5]",SM15XPRIZE_20240410_060002.wav,5
191,8.195782,9.941592,-0.4146157,6.4028163,0.94009894,"[37.5, 38.0]",SM15XPRIZE_20240410_060002.wav,2
192,-6.2950826,5.8249183,-2.0536118,3.6843085,-0.72501576,"[38.0, 38.5]",SM15XPRIZE_20240410_060002.wav,4
193,-5.5992966,5.417905,-0.8122031,4.5758843,-0.32690707,"[38.5, 39.0]",SM15XPRIZE_20240410_060002.wav,4
194,-5.7482924,6.663185,1.2991663,7.224491,1.5610348,"[39.0, 39.5]",SM15XPRIZE_20240410_060002.wav,4
195,-6.7212396,6.5116453,-0.6374891,5.1810627,-0.4750673,"[39.5, 40.0]",SM15XPRIZE_20240410_060002.wav,4
196,-10.402262,2.1748831,-0.18646674,4.205174,0.31982106,"[40.0, 40.5]",SM15XPRIZE_20240410_060002.wav,4
197,-4.814818,7.433504,1.6535969,5.9966893,-0.06937129,"[40.5, 41.0]",SM15XPRIZE_20240410_060002.wav,4
198,-5.6975536,7.1309714,-0.08134369,4.9431286,-0.21631089,"[41.0, 41.5]",SM15XPRIZE_20240410_060002.wav,4
199,-3.6915648,12.349921,-0.3808453,3.1310263,-1.4361581,"[41.5, 42.0]",SM15XPRIZE_20240410_060002.wav,4
200,-2.7531488,12.263437,-0.5160128,3.9305081,-1.0466481,"[42.0, 42.5]",SM15XPRIZE_20240410_060002.wav,4
201,-7.0439734,3.850809,0.27474377,5.203166,0.5886452,"[42.5, 43.0]",SM15XPRIZE_20240410_060002.wav,4
202,-4.788254,5.458027,0.34400207,6.0627594,0.6938123,"[43.0, 43.5]",SM15XPRIZE_20240410_060002.wav,4
203,-5.623336,6.950702,-1.8353711,4.0051646,-1.0980822,"[43.5, 44.0]",SM15XPRIZE_20240410_060002.wav,4
204,-5.106844,5.8185287,-1.001822,4.5544076,-0.008290497,"[44.0, 44.5]",SM15XPRIZE_20240410_060002.wav,4
205,-2.7047927,8.043695,-0.30812627,4.152915,0.4684413,"[44.5, 45.0]",SM15XPRIZE_20240410_060002.wav,4
206,-3.7588024,7.5813513,-0.6105808,1.9600589,0.032652184,"[45.0, 45.5]",SM15XPRIZE_20240410_060002.wav,4
207,-1.8048227,8.141875,0.3857677,4.2605376,1.5303127,"[45.5, 46.0]",SM15XPRIZE_20240410_060002.wav,4
